scale_up,time
8,93.119
16,48.025
24,44.786
32,46.284
40,42.597
48,44.291
56,47.857
64,45.785
8,80.148
16,45.256
24,44.252
32,43.711
40,42.75
48,45.009
56,44.848
64,44.458
8,94.119
16,43.106
24,48.552
32,51.227
40,43.317
48,43.215
56,52.018
64,43.148
8,84.191
16,53.592
24,44.039
32,50.361
40,47.67
48,51.273
56,78.796
64,52.351
8,74.999
16,44.161
24,48.86
32,45.825
40,47.792
48,49.159
56,48.711
64,47.429
