scale_up,time
16,74.254
32,47.691
48,50.675
64,65.092
16,73.811
32,46.277
48,48.745
64,47.017
16,72.452
32,50.53
48,51.651
64,56.227
16,74.034
32,49.38
48,54.785
64,46.021
16,78.204
32,41.474
48,42.21
64,67.024
