strategy,runtime
S8,10950.55
S8,10944.61
S8,10889.74
S16,5466.21
S16,5474.91
S16,5519.8
S32,2745.27
S32,2759.9
S32,2741.6
S64,1413.57
S64,1379.95
S64,1405.6
F,10839.18
F,10930.5
F,10891.5
W,2059.07
W,2030.6
W,2045.3
