strategy,runtime
S8,1278.5
S8,1318.01
S8,1310.63
S16,646.8
S16,642.65
S16,652.1
S32,344.9
S32,340.38
S32,324.21
S64,191.4
S64,198.87
S64,200.4
F,1303.8
F,1280.6
F,1315.1
W,383.97
W,375.4
W,393.4
